,City,Cloudiness,Country,Humidity (%),Lat,Lng,Max Temp,Wind Speed,Date
0,beloha,0,MG,78,-25.1667,45.05,67.82,10.4,1619233924
1,adrar,1,MR,15,20.5022,-10.0711,74.7,8.95,1619233904
2,asosa,35,ET,73,10.0667,34.5333,65.14,5.06,1619234077
3,urumqi,75,CN,64,43.801,87.6005,35.6,8.95,1619233867
4,alta floresta,75,NO,64,69.9689,23.2717,32.0,8.05,1619234077
5,verkhnevilyuysk,100,RU,91,63.4453,120.3167,32.92,5.86,1619234078
6,castro,8,BR,88,-24.7911,-50.0119,52.9,3.22,1619234002
7,laguna,1,US,62,38.421,-121.4238,61.0,10.36,1619234012
8,mys shmidta,60,RU,75,62.0589,48.6201,44.49,5.73,1619234078
9,kapaa,40,US,69,22.0752,-159.319,77.0,18.41,1619233629
10,hasaki,75,JP,48,35.7333,140.8333,70.0,3.44,1619234081
11,opuwo,17,NA,39,-18.0607,13.84,68.68,8.39,1619234084
12,victoria,20,HK,61,22.2855,114.1577,84.2,17.27,1619234085
13,gat,37,IL,100,31.61,34.7642,66.0,2.51,1619233984
14,yerbogachen,21,RU,67,61.2767,108.0108,38.71,9.19,1619234087
15,qaanaaq,100,GL,79,77.484,-69.3632,17.2,5.44,1619234087
16,monteagudo,48,BO,98,-19.8167,-63.9833,63.19,1.95,1619233870
17,thompson,20,CA,49,55.7435,-97.8558,17.6,5.75,1619234088
18,saskylakh,100,RU,96,71.9167,114.0833,33.89,19.75,1619233875
19,longyearbyen,75,SJ,73,78.2186,15.6401,19.4,5.75,1619234023
20,atuona,22,PF,78,-9.8,-139.0333,80.37,24.02,1619234090
21,jacareacanga,98,BR,98,-6.2222,-57.7528,73.89,1.7,1619234090
22,albany,3,US,50,42.6001,-73.9662,45.0,6.13,1619233817
23,prestea,100,GH,95,5.4327,-2.1428,76.93,1.9,1619234091
24,butaritari,100,KI,77,3.0707,172.7902,81.21,6.69,1619234020
25,port blair,62,CD,79,-7.0349,29.7638,71.1,4.36,1619234092
26,skibbereen,40,IE,61,51.55,-9.2667,48.2,14.97,1619234093
27,lodja,100,CD,99,-3.4833,23.4333,68.04,1.72,1619234094
28,talnakh,100,RU,98,69.4865,88.3972,32.41,9.66,1619234095
29,bluff,64,NZ,87,-46.6,168.3333,53.01,1.99,1619233986
30,lompoc,4,US,71,34.6391,-120.4579,53.6,5.75,1619234021
31,vaini,20,TO,79,-21.2,-175.2,84.2,8.05,1619233879
